LAST,FIRST,STATE,PHONE,ID,EMAIL,GRADYEAR,YRSSINCEGRAD,GPA,PROGRAM,STUDIEDABROAD,STUDIEDIN,NEWSLETTER
Oneal,Lazaro,Washington D.C.,(202) 555-4164,526993,loneal@alumni.rouxacademy.com,2009,3,2.33,Photography,NO,n/a,YES
Salinas,Dorie,California,(661) 555-4600,710325,dsalinas@alumni.rouxacademy.com,2006,6,2.26,Animation,NO,n/a,YES
Hooper,Mathilde,Tennessee,(423) 555-4124,496813,mhooper@alumni.rouxacademy.com,2000,12,2.56,Fashion and Textile Design,NO,n/a,YES
Gomez,Nell,New Jersey,(732) 555-7878,740631,ngomez@alumni.rouxacademy.com,2003,9,2.22,Animation,NO,n/a,YES
Jordan,Lachelle,North Carolina,(919) 555-3200,490888,ljordan@alumni.rouxacademy.com,2003,9,2.13,Photography,NO,n/a,YES
Waller,Claud,Michigan,(586) 555-0661,922492,cwaller@alumni.rouxacademy.com,2004,8,3.6,Graphic Design,NO,n/a,YES
Steele,Bob,Florida,(305) 555-4039,264843,bsteele@alumni.rouxacademy.com,2002,10,2.79,Animation,YES,Brazil,NO
Welch,Zelma,Maine,(207) 555-0992,885463,zwelch@alumni.rouxacademy.com,2007,5,3.69,Graphic Design,NO,n/a,NO
Mejia,Jayna,Virginia,(757) 555-3060,932104,jmejia@alumni.rouxacademy.com,2007,5,3.84,Fashion and Textile Design,NO,n/a,YES
Salinas,Curtis,New Jersey,(862) 555-7095,987671,csalinas@alumni.rouxacademy.com,2002,10,2.41,Fine Art and Visual Culture,NO,n/a,YES
Justice,Genevie,Texas,(915) 555-1170,841726,gjustice@alumni.rouxacademy.com,2004,8,2.52,Fashion and Textile Design,NO,n/a,NO
Durham,Cynthia,Mississippi,(601) 555-2641,664183,cdurham@alumni.rouxacademy.com,2003,9,3.68,Fashion and Textile Design,NO,n/a,NO
Washington,Gay,New Jersey,(551) 555-4848,113028,gwashington@alumni.rouxacademy.com,2003,9,3.45,Animation,NO,n/a,NO
Ochoa,Margareta,Ohio,(513) 555-4231,247664,mochoa@alumni.rouxacademy.com,2004,8,3.92,Fashion and Textile Design,NO,n/a,NO
Martinez,Tamatha,Arkansas,(479) 555-8717,235808,tmartinez@alumni.rouxacademy.com,2000,12,3.53,Fashion and Textile Design,NO,n/a,NO
Valencia,Alexander,Pennsylvania,(814) 555-5428,740027,avalencia@alumni.rouxacademy.com,2004,8,3.33,Fine Art and Visual Culture,NO,n/a,NO
Duncan,Roxie,Virginia,(540) 555-2064,568129,rduncan@alumni.rouxacademy.com,2002,10,3.37,Animation,YES,Turkey,YES
Gay,Antionette,Florida,(305) 555-7759,781026,agay@alumni.rouxacademy.com,2009,3,2.11,Fashion and Textile Design,NO,n/a,NO
Patel,Wilson,Virginia,(571) 555-1788,961284,wpatel@alumni.rouxacademy.com,2000,12,3.03,Fashion and Textile Design,YES,Canada,NO
Boone,Christiana,California,(213) 555-9503,344652,cboone@alumni.rouxacademy.com,2008,4,2.35,Fashion and Textile Design,NO,n/a,NO
Glenn,Verda,California,(424) 555-0675,897051,vglenn@alumni.rouxacademy.com,2011,1,3.21,Animation,NO,n/a,YES
Hubbard,Deetta,New York,(607) 555-5081,222435,dhubbard@alumni.rouxacademy.com,2004,8,3.12,Graphic Design,NO,n/a,YES
Reid,Nelida,Pennsylvania,(412) 555-4073,666780,nreid@alumni.rouxacademy.com,2000,12,2.59,Photography,NO,n/a,YES
Richards,Deneen,Maine,(207) 555-8062,351396,drichards@alumni.rouxacademy.com,2004,8,2.65,Animation,NO,n/a,NO
Drake,Lauryn,New York,(716) 555-1677,187947,ldrake@alumni.rouxacademy.com,2005,7,3.47,Animation,NO,n/a,NO
Solomon,Trista,California,(530) 555-8977,13827,tsolomon@alumni.rouxacademy.com,2000,12,2.48,Graphic Design,YES,Thailand,YES
Bender,Benito,Ohio,(419) 555-0179,810924,bbender@alumni.rouxacademy.com,2003,9,3.2,Photography,NO,n/a,YES
Riddle,Deane,Pennsylvania,(484) 555-1257,833159,driddle@alumni.rouxacademy.com,2008,4,3.01,Fine Art and Visual Culture,NO,n/a,YES
Vargas,Fe,Oklahoma,(539) 555-9542,475026,fvargas@alumni.rouxacademy.com,2004,8,3.84,Fine Art and Visual Culture,YES,Japan,YES
Huber,Pok,Illinois,(872) 555-1063,878244,phuber@alumni.rouxacademy.com,2004,8,2.14,Fine Art and Visual Culture,NO,n/a,YES
Zamora,Stephenie,Pennsylvania,(724) 555-4205,988777,szamora@alumni.rouxacademy.com,2006,6,3.3,Photography,NO,n/a,NO
Williams,Loyd,West Virginia,(681) 555-5419,58944,lwilliams@alumni.rouxacademy.com,2005,7,3.36,Fine Art and Visual Culture,NO,n/a,YES
Faulkner,Trinidad,Minnesota,(763) 555-2571,206061,tfaulkner@alumni.rouxacademy.com,2005,7,2.21,Animation,NO,n/a,YES
Haley,Susie,California,(650) 555-2614,227376,shaley@alumni.rouxacademy.com,2003,9,2.41,Graphic Design,NO,n/a,YES
Hinton,Joe,Nebraska,(402) 555-9730,697664,jhinton@alumni.rouxacademy.com,2006,6,2.83,Fine Art and Visual Culture,NO,n/a,NO
Jarvis,Sixta,New York,(646) 555-6458,934313,sjarvis@alumni.rouxacademy.com,2004,8,2.35,Animation,NO,n/a,NO
Boyer,Marguerite,Michigan,(906) 555-6595,556359,mboyer@alumni.rouxacademy.com,2009,3,3.49,Fashion and Textile Design,NO,n/a,YES
Bradley,Jean,Massachusetts,(508) 555-6317,708029,jbradley@alumni.rouxacademy.com,2001,11,2.48,Fashion and Textile Design,NO,n/a,YES
Cantrell,Shayna,Mississippi,(601) 555-1744,355377,scantrell@alumni.rouxacademy.com,2003,9,3.63,Animation,NO,n/a,YES
Donaldson,Rubye,New Hampshire,(603) 555-4554,47355,rdonaldson@alumni.rouxacademy.com,2006,6,3.09,Animation,NO,n/a,YES
Kelley,Darcey,New Mexico,(505) 555-9879,244837,dkelley@alumni.rouxacademy.com,2011,1,2.39,Photography,NO,n/a,YES
Buckley,Virgil,New York,(716) 555-2850,15974,vbuckley@alumni.rouxacademy.com,2006,6,2.98,Graphic Design,NO,n/a,NO
Reilly,Gale,North Carolina,(252) 555-6627,835619,greilly@alumni.rouxacademy.com,2002,10,2.02,Fashion and Textile Design,NO,n/a,NO
Puckett,Horacio,Louisiana,(504) 555-3409,994856,hpuckett@alumni.rouxacademy.com,2009,3,3.41,Fashion and Textile Design,NO,n/a,YES
Buckner,Fannie,Kansas,(913) 555-4770,464950,fbuckner@alumni.rouxacademy.com,2004,8,2.3,Animation,NO,n/a,NO
Sawyer,Stephani,Florida,(772) 555-4992,952969,ssawyer@alumni.rouxacademy.com,2009,3,2.36,Fashion and Textile Design,NO,n/a,YES
Hester,Abraham,Alabama,(938) 555-7660,666437,ahester@alumni.rouxacademy.com,2010,2,3.82,Animation,YES,Turkey,YES
George,Prince,Michigan,(248) 555-1254,837202,pgeorge@alumni.rouxacademy.com,2001,11,2.47,Graphic Design,NO,n/a,YES
Thompson,Ted,New York,(516) 555-8791,422379,tthompson@alumni.rouxacademy.com,2010,2,3.9,Fine Art and Visual Culture,YES,Spain,YES
Moss,Lesha,California,(949) 555-8191,113890,lmoss@alumni.rouxacademy.com,2000,12,3.56,Photography,YES,Sweden,NO
Kirby,Marx,Kentucky,(606) 555-0695,846575,mkirby@alumni.rouxacademy.com,2008,4,3.95,Fashion and Textile Design,NO,n/a,YES
Kaufman,Kary,New Jersey,(609) 555-0480,401251,kkaufman@alumni.rouxacademy.com,2010,2,3.68,Animation,NO,n/a,YES
Clemons,Donya,Pennsylvania,(267) 555-3899,918013,dclemons@alumni.rouxacademy.com,2004,8,2.49,Fine Art and Visual Culture,NO,n/a,NO
Frank,Genie,Mississippi,(228) 555-2204,969701,gfrank@alumni.rouxacademy.com,2001,11,3.36,Fashion and Textile Design,NO,n/a,NO
Gutierrez,Ned,Minnesota,(218) 555-5756,662740,ngutierrez@alumni.rouxacademy.com,2003,9,3.65,Photography,NO,n/a,YES
Ross,Aleisha,Arizona,(520) 555-2444,315013,aross@alumni.rouxacademy.com,2006,6,3.97,Graphic Design,NO,n/a,YES
Barrett,Jade,Illinois,(331) 555-3727,94188,jbarrett@alumni.rouxacademy.com,2005,7,3.11,Graphic Design,NO,n/a,NO
Mcleod,Wm,Oklahoma,(405) 555-5381,920283,wmcleod@alumni.rouxacademy.com,2003,9,3.3,Photography,NO,n/a,YES
Shaffer,Gilberte,Vermont,(802) 555-2498,64992,gshaffer@alumni.rouxacademy.com,2003,9,3.92,Fine Art and Visual Culture,NO,n/a,NO
Pitts,Nydia,Kentucky,(859) 555-4374,551571,npitts@alumni.rouxacademy.com,2002,10,3.85,Fashion and Textile Design,NO,n/a,NO
Cook,Andera,Michigan,(586) 555-0735,673150,acook@alumni.rouxacademy.com,2010,2,3.22,Fashion and Textile Design,NO,n/a,NO
Shaw,Mellisa,Alabama,(256) 555-6180,690913,mshaw@alumni.rouxacademy.com,2000,12,3.78,Fine Art and Visual Culture,NO,n/a,YES
Floyd,Kenneth,North Carolina,(980) 555-2233,257056,kfloyd@alumni.rouxacademy.com,2002,10,2.47,Photography,NO,n/a,NO
Case,Damion,California,(714) 555-0096,416321,dcase@alumni.rouxacademy.com,2002,10,3.4,Fashion and Textile Design,NO,n/a,YES
Meyer,Shiela,Rhode Island,(401) 555-2131,118630,smeyer@alumni.rouxacademy.com,2007,5,3.81,Photography,NO,n/a,YES
Marks,Tuan,California,(213) 555-9801,351376,tmarks@alumni.rouxacademy.com,2000,12,3.67,Fashion and Textile Design,NO,n/a,NO
Potter,Maddie,North Carolina,(980) 555-8617,23051,mpotter@alumni.rouxacademy.com,2005,7,2.55,Animation,NO,n/a,NO
Hoffman,Mitch,Virginia,(276) 555-7476,267615,mhoffman@alumni.rouxacademy.com,2007,5,2.64,Fine Art and Visual Culture,NO,n/a,YES
Cochran,Reba,Ohio,(234) 555-5476,570576,rcochran@alumni.rouxacademy.com,2003,9,2.46,Graphic Design,YES,Brazil,YES
Hendricks,Lenna,New York,(716) 555-5333,706765,lhendricks@alumni.rouxacademy.com,2002,10,3.1,Photography,NO,n/a,YES
Salazar,Lonnie,Wisconsin,(534) 555-1346,160383,lsalazar@alumni.rouxacademy.com,2010,2,3.25,Fine Art and Visual Culture,NO,n/a,YES
Orr,Clarence,Ohio,(740) 555-6411,237220,corr@alumni.rouxacademy.com,2009,3,3.56,Fine Art and Visual Culture,NO,n/a,NO
Booker,Hector,Michigan,(517) 555-2193,637472,hbooker@alumni.rouxacademy.com,2001,11,2.29,Fashion and Textile Design,NO,n/a,YES
Norman,Judie,Delaware,(302) 555-0016,485408,jnorman@alumni.rouxacademy.com,2007,5,2.96,Photography,NO,n/a,NO
Kline,Norah,Florida,(321) 555-3554,198994,nkline@alumni.rouxacademy.com,2001,11,3.66,Photography,YES,Japan,YES
Scott,Issac,West Virginia,(304) 555-9677,547891,iscott@alumni.rouxacademy.com,2004,8,3.93,Fashion and Textile Design,NO,n/a,NO
Patel,Takisha,Ohio,(567) 555-2569,671308,tpatel@alumni.rouxacademy.com,2006,6,2.7,Fashion and Textile Design,YES,Spain,YES
Marquez,Kathaleen,Missouri,(660) 555-0062,607722,kmarquez@alumni.rouxacademy.com,2001,11,2.41,Animation,NO,n/a,YES
Spence,Tyron,California,(408) 555-9863,726557,tspence@alumni.rouxacademy.com,2010,2,2.21,Fine Art and Visual Culture,NO,n/a,NO
Frederick,Samira,Illinois,(331) 555-4159,192755,sfrederick@alumni.rouxacademy.com,2008,4,2.89,Animation,YES,Canada,YES
Beasley,Mindy,California,(310) 555-2867,86583,mbeasley@alumni.rouxacademy.com,2003,9,3.46,Graphic Design,YES,France,YES
Rowe,Lamont,Washington,(253) 555-4607,242067,lrowe@alumni.rouxacademy.com,2002,10,3.18,Graphic Design,NO,n/a,YES
Gallegos,Ciera,Hawaii,(808) 555-6949,432400,cgallegos@alumni.rouxacademy.com,2011,1,3.6,Fine Art and Visual Culture,NO,n/a,NO
Richard,Marilee,Mississippi,(769) 555-9716,176286,mrichard@alumni.rouxacademy.com,2007,5,2.54,Animation,NO,n/a,NO
Rodriquez,Karissa,Pennsylvania,(717) 555-9238,938881,krodriquez@alumni.rouxacademy.com,2004,8,3.79,Fine Art and Visual Culture,NO,n/a,YES
Cole,Olevia,Texas,(214) 555-5260,916882,ocole@alumni.rouxacademy.com,2010,2,3.18,Graphic Design,NO,n/a,NO
Valentine,Marguerita,Colorado,(720) 555-4533,815547,mvalentine@alumni.rouxacademy.com,2004,8,3.41,Photography,YES,Thailand,NO
Chavez,Franchesca,Mississippi,(662) 555-0093,451438,fchavez@alumni.rouxacademy.com,2002,10,2.09,Fine Art and Visual Culture,NO,n/a,YES
Key,Lawrence,Ohio,(440) 555-0890,179921,lkey@alumni.rouxacademy.com,2009,3,2.57,Fashion and Textile Design,NO,n/a,YES
Nielsen,Marci,Oregon,(541) 555-1854,264901,mnielsen@alumni.rouxacademy.com,2003,9,3.69,Fashion and Textile Design,NO,n/a,YES
Dickerson,Dina,Texas,(281) 555-2768,251257,ddickerson@alumni.rouxacademy.com,2000,12,2.28,Fine Art and Visual Culture,NO,n/a,NO
Pennington,Olevia,California,(661) 555-4256,694091,opennington@alumni.rouxacademy.com,2008,4,3.36,Animation,NO,n/a,YES
Walls,Claudia,Michigan,(810) 555-3719,297188,cwalls@alumni.rouxacademy.com,2004,8,3.41,Animation,NO,n/a,YES
Espinoza,Justin,Mississippi,(601) 555-0372,786840,jespinoza@alumni.rouxacademy.com,2008,4,2.07,Animation,NO,n/a,NO
Morris,Lavonia,New York,(585) 555-4105,992852,lmorris@alumni.rouxacademy.com,2004,8,3.86,Graphic Design,NO,n/a,NO
Owens,Nanci,Texas,(903) 555-4253,943735,nowens@alumni.rouxacademy.com,2002,10,2.28,Graphic Design,NO,n/a,NO
Griffith,Antonia,North Carolina,(704) 555-6957,525546,agriffith@alumni.rouxacademy.com,2008,4,3.89,Graphic Design,NO,n/a,YES
Medina,Shela,Florida,(239) 555-0785,801301,smedina@alumni.rouxacademy.com,2011,1,3.09,Graphic Design,NO,n/a,NO
Anthony,Bee,Georgia,(470) 555-3212,342118,banthony@alumni.rouxacademy.com,2001,11,2.48,Animation,NO,n/a,NO
Noble,Rico,Florida,(941) 555-6541,283595,rnoble@alumni.rouxacademy.com,2008,4,3.83,Graphic Design,NO,n/a,NO
Hull,Luann,Virginia,(804) 555-9447,495024,lhull@alumni.rouxacademy.com,2001,11,3.33,Animation,YES,Italy,NO
Blair,Florida,Florida,(407) 555-2607,53188,fblair@alumni.rouxacademy.com,2001,11,2.92,Fashion and Textile Design,NO,n/a,YES
Perkins,Marnie,California,(661) 555-0811,147198,mperkins@alumni.rouxacademy.com,2001,11,3.97,Photography,NO,n/a,YES
Maynard,Janella,Connecticut,(475) 555-9023,970483,jmaynard@alumni.rouxacademy.com,2008,4,3.3,Photography,NO,n/a,NO
Hale,Roland,California,(951) 555-2026,371628,rhale@alumni.rouxacademy.com,2009,3,2.53,Animation,NO,n/a,YES
Brock,Yulanda,Wisconsin,(534) 555-8263,641859,ybrock@alumni.rouxacademy.com,2004,8,2.63,Graphic Design,NO,n/a,NO
Bradford,Annie,Connecticut,(203) 555-9394,330440,abradford@alumni.rouxacademy.com,2009,3,3.26,Photography,NO,n/a,NO
Duffy,Kieth,Idaho,(208) 555-4122,158298,kduffy@alumni.rouxacademy.com,2007,5,2.06,Fashion and Textile Design,NO,n/a,YES
Sweeney,Illa,Illinois,(618) 555-2570,51882,isweeney@alumni.rouxacademy.com,2006,6,3.19,Animation,NO,n/a,YES
Leonard,Stefany,New York,(914) 555-3147,411071,sleonard@alumni.rouxacademy.com,2007,5,2.54,Fine Art and Visual Culture,NO,n/a,NO
Hunter,Remedios,New Jersey,(856) 555-1992,935870,rhunter@alumni.rouxacademy.com,2003,9,2.71,Fine Art and Visual Culture,NO,n/a,YES
Barnes,Marshall,West Virginia,(681) 555-0020,641016,mbarnes@alumni.rouxacademy.com,2009,3,2,Fine Art and Visual Culture,YES,Germany,NO
Blackburn,Beulah,Vermont,(802) 555-7077,353066,bblackburn@alumni.rouxacademy.com,2010,2,3.2,Photography,NO,n/a,NO
Mccullough,Karina,New Jersey,(856) 555-5510,870630,kmccullough@alumni.rouxacademy.com,2003,9,3.98,Graphic Design,NO,n/a,NO
Koch,Gil,Massachusetts,(339) 555-2380,593116,gkoch@alumni.rouxacademy.com,2010,2,2.32,Animation,NO,n/a,NO
Gibson,Rosy,South Carolina,(803) 555-4636,133132,rgibson@alumni.rouxacademy.com,2010,2,2.79,Graphic Design,NO,n/a,YES
Williamson,Jessie,Arizona,(928) 555-0537,910264,jwilliamson@alumni.rouxacademy.com,2008,4,2.14,Animation,YES,Germany,YES
Huffman,Gloria,Ohio,(567) 555-9841,680779,ghuffman@alumni.rouxacademy.com,2001,11,2.94,Fine Art and Visual Culture,NO,n/a,YES
Franks,Charisse,Virginia,(703) 555-1730,76464,cfranks@alumni.rouxacademy.com,2005,7,2.29,Animation,NO,n/a,YES
Livingston,Graham,California,(714) 555-8918,835616,glivingston@alumni.rouxacademy.com,2011,1,2.52,Photography,NO,n/a,NO
Frazier,Andra,Arizona,(520) 555-3871,981047,afrazier@alumni.rouxacademy.com,2010,2,3.16,Photography,NO,n/a,NO
Lewis,Maricruz,Minnesota,(763) 555-7182,113599,mlewis@alumni.rouxacademy.com,2003,9,3.1,Graphic Design,NO,n/a,YES
Noble,Franklin,Arkansas,(501) 555-2494,849073,fnoble@alumni.rouxacademy.com,2009,3,3.81,Animation,NO,n/a,NO
Campos,Lakeshia,California,(661) 555-5748,205947,lcampos@alumni.rouxacademy.com,2004,8,2.33,Animation,NO,n/a,NO
Vang,Ellsworth,New York,(516) 555-8721,599594,evang@alumni.rouxacademy.com,2007,5,3.78,Fine Art and Visual Culture,NO,n/a,YES
Perry,Alexander,Arkansas,(870) 555-5385,373213,aperry@alumni.rouxacademy.com,2011,1,2.14,Photography,NO,n/a,YES
Wagner,Lavern,Texas,(325) 555-4871,306800,lwagner@alumni.rouxacademy.com,2010,2,2.54,Photography,YES,South Africa,YES
Trujillo,Dwight,Texas,(830) 555-1292,802688,dtrujillo@alumni.rouxacademy.com,2008,4,2.57,Fashion and Textile Design,NO,n/a,NO
Gibbs,Brunilda,New York,(518) 555-6216,887633,bgibbs@alumni.rouxacademy.com,2001,11,2.6,Fashion and Textile Design,NO,n/a,NO
Joseph,Cory,South Carolina,(864) 555-9047,428179,cjoseph@alumni.rouxacademy.com,2011,1,3.98,Animation,NO,n/a,NO
Mills,Marcene,Massachusetts,(617) 555-4375,389607,mmills@alumni.rouxacademy.com,2006,6,3.31,Photography,NO,n/a,YES
Fowler,Toby,Ohio,(740) 555-5477,509164,tfowler@alumni.rouxacademy.com,2009,3,3.06,Photography,NO,n/a,YES
Serrano,Geneva,Pennsylvania,(878) 555-3417,739330,gserrano@alumni.rouxacademy.com,2007,5,3.85,Fashion and Textile Design,YES,Germany,YES
Shelton,Terese,Florida,(904) 555-3162,618317,tshelton@alumni.rouxacademy.com,2007,5,2.02,Fine Art and Visual Culture,NO,n/a,NO
Giles,Veda,Oklahoma,(918) 555-4195,530930,vgiles@alumni.rouxacademy.com,2008,4,3.34,Photography,NO,n/a,NO
Daniels,Verdie,California,(209) 555-3324,791985,vdaniels@alumni.rouxacademy.com,2007,5,3.68,Fine Art and Visual Culture,NO,n/a,YES
Odonnell,Vonda,California,(619) 555-8457,372093,vodonnell@alumni.rouxacademy.com,2003,9,3.46,Fine Art and Visual Culture,NO,n/a,NO
Berry,Ricky,Arizona,(623) 555-4994,787620,rberry@alumni.rouxacademy.com,2003,9,2.29,Fine Art and Visual Culture,NO,n/a,NO
Obrien,Delphine,Florida,(850) 555-3775,301682,dobrien@alumni.rouxacademy.com,2006,6,3.18,Animation,NO,n/a,YES
Pickett,Chau,Pennsylvania,(412) 555-0657,425524,cpickett@alumni.rouxacademy.com,2009,3,2.87,Fine Art and Visual Culture,NO,n/a,YES
Phelps,Malena,Utah,(385) 555-9990,506083,mphelps@alumni.rouxacademy.com,2007,5,2.71,Fashion and Textile Design,NO,n/a,NO
Petersen,Gianna,Michigan,(517) 555-8005,364634,gpetersen@alumni.rouxacademy.com,2010,2,3.59,Fine Art and Visual Culture,NO,n/a,NO
Booker,Armanda,California,(562) 555-6791,180620,abooker@alumni.rouxacademy.com,2011,1,2.91,Fashion and Textile Design,NO,n/a,YES
Noble,Mai,Tennessee,(615) 555-9283,351797,mnoble@alumni.rouxacademy.com,2008,4,3.17,Fine Art and Visual Culture,NO,n/a,YES
Gilmore,Andreas,Texas,(956) 555-5141,894017,agilmore@alumni.rouxacademy.com,2001,11,2.94,Animation,NO,n/a,YES
Mckinney,Curtis,North Carolina,(336) 555-9530,735329,cmckinney@alumni.rouxacademy.com,2004,8,3.68,Photography,NO,n/a,YES
Buckley,Carlos,Delaware,(302) 555-7584,102317,cbuckley@alumni.rouxacademy.com,2007,5,3.9,Photography,NO,n/a,NO
Davenport,Wade,California,(442) 555-5378,714077,wdavenport@alumni.rouxacademy.com,2010,2,3.06,Fashion and Textile Design,NO,n/a,NO
Harrington,Carmel,Florida,(386) 555-4159,211413,charrington@alumni.rouxacademy.com,2005,7,2.95,Fashion and Textile Design,YES,South Africa,NO
Nichols,Babara,Texas,(979) 555-8433,778734,bnichols@alumni.rouxacademy.com,2011,1,2.15,Photography,NO,n/a,YES
Dale,Traci,Washington D.C.,(202) 555-2346,264482,tdale@alumni.rouxacademy.com,2001,11,3.98,Animation,NO,n/a,YES
Santiago,Andreas,Colorado,(720) 555-6213,765366,asantiago@alumni.rouxacademy.com,2005,7,3.53,Animation,NO,n/a,NO
Alvarado,Bronwyn,Michigan,(313) 555-4607,385432,balvarado@alumni.rouxacademy.com,2008,4,3.83,Fashion and Textile Design,NO,n/a,YES
Patrick,Alicia,Alaska,(907) 555-4958,44630,apatrick@alumni.rouxacademy.com,2011,1,2.97,Animation,YES,Argentina,NO
Lopez,Phillip,Texas,(210) 555-1843,779076,plopez@alumni.rouxacademy.com,2007,5,3.15,Photography,NO,n/a,YES
Ross,Catrice,Massachusetts,(339) 555-0539,812123,cross@alumni.rouxacademy.com,2004,8,3.68,Fine Art and Visual Culture,NO,n/a,YES
Bruce,Aaron,Oregon,(458) 555-2950,345707,abruce@alumni.rouxacademy.com,2008,4,3.9,Graphic Design,NO,n/a,YES
Berger,Johana,Virginia,(571) 555-2695,650349,jberger@alumni.rouxacademy.com,2003,9,3.11,Fashion and Textile Design,NO,n/a,NO
Higgins,Vella,Texas,(830) 555-5145,459144,vhiggins@alumni.rouxacademy.com,2001,11,3.63,Fine Art and Visual Culture,NO,n/a,NO
Drake,Prince,Michigan,(947) 555-9496,952289,pdrake@alumni.rouxacademy.com,2005,7,2.73,Fine Art and Visual Culture,NO,n/a,NO
Peters,Romeo,Texas,(214) 555-0306,567181,rpeters@alumni.rouxacademy.com,2008,4,3.41,Fine Art and Visual Culture,NO,n/a,NO
Pennington,Fletcher,Florida,(561) 555-6699,403995,fpennington@alumni.rouxacademy.com,2004,8,2.07,Photography,YES,Japan,NO
Mcmahon,Willena,Indiana,(812) 555-3031,955427,wmcmahon@alumni.rouxacademy.com,2007,5,2.66,Photography,NO,n/a,YES
Carlson,Claud,Texas,(903) 555-8975,983061,ccarlson@alumni.rouxacademy.com,2002,10,3.39,Animation,NO,n/a,YES
Mckinney,Blair,Virginia,(804) 555-5466,219217,bmckinney@alumni.rouxacademy.com,2000,12,3.28,Fashion and Textile Design,YES,Japan,YES
Gonzales,Cristobal,Georgia,(706) 555-3811,708946,cgonzales@alumni.rouxacademy.com,2008,4,2.24,Fine Art and Visual Culture,NO,n/a,NO
Christensen,Alva,Texas,(210) 555-3851,48032,achristensen@alumni.rouxacademy.com,2002,10,2.84,Graphic Design,NO,n/a,YES
Mccarthy,Lashunda,California,(442) 555-0357,964582,lmccarthy@alumni.rouxacademy.com,2000,12,3.62,Graphic Design,NO,n/a,NO
Terry,Taylor,Oregon,(503) 555-4757,40234,tterry@alumni.rouxacademy.com,2005,7,2.16,Fashion and Textile Design,NO,n/a,NO
Banks,Rafaela,Arizona,(928) 555-2639,109920,rbanks@alumni.rouxacademy.com,2001,11,2,Fashion and Textile Design,NO,n/a,YES
Willis,Jama,Connecticut,(860) 555-3457,35722,jwillis@alumni.rouxacademy.com,2011,1,2.45,Photography,NO,n/a,NO
Parrish,Latesha,Massachusetts,(978) 555-4714,231808,lparrish@alumni.rouxacademy.com,2008,4,2.73,Animation,NO,n/a,NO
Bender,Adelaida,Oklahoma,(918) 555-5013,535348,abender@alumni.rouxacademy.com,2007,5,3.94,Fine Art and Visual Culture,YES,Germany,NO
Townsend,Francis,Illinois,(779) 555-6157,788142,ftownsend@alumni.rouxacademy.com,2011,1,2.09,Animation,YES,Mexico,NO
Cochran,Marnie,Maryland,(240) 555-5406,517101,mcochran@alumni.rouxacademy.com,2005,7,2.48,Fine Art and Visual Culture,NO,n/a,YES
Palmer,Nelida,California,(657) 555-0180,256389,npalmer@alumni.rouxacademy.com,2007,5,3.24,Fine Art and Visual Culture,NO,n/a,NO
Grimes,Terrell,Massachusetts,(508) 555-9802,953365,tgrimes@alumni.rouxacademy.com,2000,12,2.39,Photography,YES,Argentina,YES
Joyner,Neta,Mississippi,(662) 555-3643,348452,njoyner@alumni.rouxacademy.com,2001,11,2.71,Fashion and Textile Design,NO,n/a,YES
Buckley,Jayme,Minnesota,(320) 555-0637,639958,jbuckley@alumni.rouxacademy.com,2011,1,3.69,Animation,NO,n/a,NO
